Day fraction since midnight on 	pH probe (pH)
0.635998103	6.678339958
0.636009694	6.670305252
0.636021268	6.642905235
0.636032832	6.689194202
0.636044414	6.693931103
0.636055991	6.653714657
0.636067556	6.654412746
0.636079125	6.669975281
0.636090718	6.648557186
0.636102269	6.656351566
0.636113851	6.645759583
0.636125431	6.643716335
0.636137002	6.630663395
0.636148583	6.626194477
0.636160147	6.637579441
0.636171725	6.641104698
0.636183312	6.589962959
0.636194902	6.629617214
0.636206437	6.599168301
0.636218027	6.607382298
0.6362296	6.591728687
0.636241175	6.612210274
0.636252745	6.574311256
0.636264324	6.617259026
0.63627589	6.597054958
0.63628746	6.580022335
0.636299043	6.574079037
0.636310632	6.587499142
0.636322201	6.565711975
0.636333754	6.609955788
0.63634533	6.573442459
0.636356911	6.577738285
0.636368501	6.566272736
0.636380065	6.589553356
0.636391631	6.56214571
0.636403212	6.594208241
0.636414774	6.56558609
0.636426352	6.57109499
0.636437936	6.559020042
0.636449501	6.585925579
0.636461081	6.581380844
0.636472635	6.558472157
0.63648424	6.547925949
0.636495826	6.562225819
0.636507372	6.575386524
0.63651894	6.55864954
0.636530508	6.553576469
0.636542101	6.562638283
0.636553667	6.549084663
0.63656525	6.570050716
0.63657682	6.561754227
0.636588378	6.551026344
0.636599978	6.570170879
0.636611539	6.555260181
0.636623123	6.564461231
0.636634685	6.559975147
0.636646265	6.545051098
0.636657845	6.545278072
0.636669426	6.5642066
0.636680993	6.533334732
0.63669255	6.571103096
0.63670414	6.537764072
0.63671571	6.526993752
0.636727267	6.533762455
0.636738867	6.551801205
0.636750438	6.512199402
0.636761991	6.526299477
0.636773581	6.515020371
0.636785156	6.523635864
0.636796732	6.520667553
0.636808285	6.507884502
0.636819878	6.488331795
0.636831454	6.513632774
0.636843012	6.499560833
0.63685458	6.527401447
0.636866157	6.49612236
0.636877737	6.488453865
0.636889311	6.473978519
0.636900881	6.504924297
0.636912471	6.487344742
0.636924042	6.496363163
0.636935603	6.471468449
0.636947215	6.475427151
0.63695875	6.48794651
0.636970341	6.493549347
0.6369819	6.472893238
0.636993489	6.494909287
0.637005055	6.456516266
0.637016649	6.489634991
0.637028223	6.503585339
0.637039797	6.47021389
0.637051359	6.481775761
0.637062959	6.493237972
0.637074514	6.474981785
0.637086083	6.504341602
0.637097666	6.474521637
0.637109209	6.465579987
0.637120799	6.490471363
0.637132389	6.476235867
0.637143954	6.492064476
0.637155526	6.464021683
0.637167092	6.476395607
0.637178674	6.465076447
0.637190235	6.488947392
0.637201819	6.476792812
0.637213405	6.479628086
0.637224953	6.45804739
0.637236543	6.459075928
0.637248126	6.462484837
0.637259695	6.493346691
